ticker,event_type,ann_date,eff_date,entry_date,exit_date,entry_price,exit_price,raw_return,net_return,vix_level,holding_days,year
DLR,addition,2016-05-11,2016-05-18,2016-05-12,2016-05-18,67.06391143798828,66.27761840820312,-0.011724532806473936,-0.015724532806473936,14.6899995803833,6,2016
LKQ,addition,2016-05-16,2016-05-23,2016-05-17,2016-05-23,28.60881996154785,28.35989761352539,-0.00870089533077663,-0.01270089533077663,14.680000305175781,6,2016
AJG,addition,2016-05-24,2016-05-31,2016-05-25,2016-05-31,40.8036003112793,40.96464920043945,0.003946928406600377,-5.307159339962286e-05,14.420000076293945,6,2016
TE,removal,2016-06-24,2016-07-01,2020-01-10,2020-01-10,9.819999694824219,9.819999694824219,-0.0,-0.004,25.760000228881836,0,2016
ALB,addition,2016-06-24,2016-07-01,2016-06-27,2016-07-01,66.08628845214844,71.33179473876953,0.07937359487844811,0.07537359487844811,25.760000228881836,4,2016
LNT,addition,2016-06-24,2016-07-01,2016-06-27,2016-07-01,29.32484245300293,29.722213745117188,0.0135506709968212,0.0095506709968212,25.760000228881836,4,2016
FTV,addition,2016-06-28,2016-07-05,2016-07-05,2016-07-05,29.427804946899414,29.427804946899414,0.0,-0.004,18.75,0,2016
CHTR,addition,2016-09-01,2016-09-08,2016-09-02,2016-09-08,271.7900085449219,268.6600036621094,-0.011516261762415625,-0.015516261762415625,13.479999542236328,6,2016
COO,addition,2016-09-15,2016-09-22,2016-09-16,2016-09-22,47.061344146728516,46.06025314331055,-0.02127204442560657,-0.02527204442560657,16.299999237060547,6,2016
COTY,addition,2016-09-23,2016-09-30,2016-09-26,2016-09-30,20.70494842529297,20.643461227416992,-0.002969686116236077,-0.006969686116236077,12.289999961853027,4,2016
AA,removal,2016-10-25,2016-11-01,2016-10-26,2016-11-01,21.144224166870117,21.847333908081055,-0.03325304043610202,-0.03733517595971598,13.460000038146973,6,2016
EVHC,addition,2016-11-25,2016-12-02,2016-11-28,2016-12-02,64.87999725341797,69.91000366210938,0.07752784558612814,0.07352784558612814,12.34000015258789,4,2016
OI,removal,2016-11-25,2016-12-02,2016-11-28,2016-12-02,17.749364852905273,17.768966674804688,-0.0011043675118439843,-0.0051591245275866265,12.34000015258789,4,2016
MAA,addition,2016-11-25,2016-12-02,2016-11-28,2016-12-02,65.83016204833984,63.73953628540039,-0.031757870524521614,-0.03575787052452162,12.34000015258789,4,2016
IDXX,addition,2016-12-29,2017-01-05,2016-12-30,2017-01-05,117.2699966430664,115.95999908447266,-0.011170781922856,-0.015170781922856,13.369999885559082,6,2016
INCY,addition,2017-02-21,2017-02-28,2017-02-22,2017-02-28,121.36000061035156,133.10000610351562,0.09673702566018842,0.09273702566018842,11.569999694824219,6,2017
SE,removal,2017-02-21,2017-02-28,2017-10-20,2017-10-20,16.260000228881836,16.260000228881836,-0.0,-0.004,11.569999694824219,0,2017
PBI,removal,2017-02-22,2017-03-01,2017-02-23,2017-03-01,9.017992973327637,9.011462211608887,0.0007241923716358975,-0.0033579431519780655,11.739999771118164,6,2017
CBOE,addition,2017-02-22,2017-03-01,2017-02-23,2017-03-01,71.41673278808594,70.78927612304688,-0.008785849485734772,-0.012785849485734772,11.739999771118164,6,2017
REG,addition,2017-02-23,2017-03-02,2017-02-24,2017-03-02,49.668880462646484,48.23160171508789,-0.028937208452674914,-0.032937208452674914,11.710000038146973,6,2017
HAR,removal,2017-03-09,2017-03-16,2017-03-10,2017-03-16,3205.739990234375,3311.0,-0.032834855629676106,-0.036916991153290064,12.300000190734863,6,2017
SNPS,addition,2017-03-09,2017-03-16,2017-03-10,2017-03-16,71.83000183105469,70.76000213623047,-0.014896278261844892,-0.018896278261844892,12.300000190734863,6,2017
AMD,addition,2017-03-13,2017-03-20,2017-03-14,2017-03-20,14.100000381469727,14.399999618530273,0.021276541059871673,0.017276541059871673,11.350000381469727,6,2017
URBN,removal,2017-03-13,2017-03-20,2017-03-14,2017-03-20,23.860000610351562,23.18000030517578,0.02849959294974896,0.024417457426135,11.350000381469727,6,2017
FSLR,removal,2017-03-13,2017-03-20,2017-03-14,2017-03-20,32.06999969482422,30.34000015258789,0.053944482653535325,0.04986234712992136,11.350000381469727,6,2017
ARE,addition,2017-03-13,2017-03-20,2017-03-14,2017-03-20,77.36507415771484,78.64521026611328,0.016546692707729828,0.012546692707729828,11.350000381469727,6,2017
RJF,addition,2017-03-13,2017-03-20,2017-03-14,2017-03-20,45.50352478027344,45.1661491394043,-0.0074142748830613395,-0.01141427488306134,11.350000381469727,6,2017
DXC,addition,2017-03-28,2017-04-04,2017-03-29,2017-04-04,59.55970001220703,56.84052276611328,-0.045654649797370404,-0.0496546497973704,11.529999732971191,6,2017
IT,addition,2017-03-29,2017-04-05,2017-03-30,2017-04-05,108.75,109.2300033569336,0.004413823971803161,0.0004138239718031612,11.420000076293945,6,2017
TGNA,removal,2017-05-26,2017-06-02,2017-05-30,2017-06-02,12.42612361907959,11.925700187683105,0.040271885805812625,0.036230818044005644,9.8100004196167,3,2017
R,removal,2017-06-12,2017-06-19,2017-06-13,2017-06-19,51.48444366455078,51.8649787902832,-0.0073912642081133415,-0.011473399731727304,11.460000038146973,6,2017
TDC,removal,2017-06-12,2017-06-19,2017-06-13,2017-06-19,28.40999984741211,28.65999984741211,-0.008799718456273512,-0.012881853979887475,11.460000038146973,6,2017
